Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Pasco,"41,296","42,495","45,461",2.9,7.0
Pinellas,"53,578","56,002","59,178",4.5,5.7
Polk,"36,048","37,183","39,760",3.1,6.9
Putnam,"32,461","33,747","36,354",4.0,7.7
St. Johns,"70,853","71,577","73,944",1.0,3.3
St. Lucie,"40,514","41,457","43,970",2.3,6.1
Santa Rosa,"45,379","46,784","49,472",3.1,5.7
Sarasota,"66,930","69,004","70,884",3.1,2.7
Seminole,"49,435","51,620","53,403",4.4,3.5
Sumter,"48,902","53,411","54,533",9.2,2.1
Suwannee,"33,421","33,363","35,987",-0.2,7.9
Taylor,"30,733","30,654","33,227",-0.3,8.4
Union,"21,816","22,495","24,593",3.1,9.3
Volusia,"42,851","44,427","46,475",3.7,4.6
Wakulla,"37,246","37,560","39,938",0.8,6.3
Walton,"64,401","66,036","69,862",2.5,5.8
Washington,"30,203","30,537","32,862",1.1,7.6
Georgia,"46,882","48,765","51,780",4.0,6.2
Appling,"33,620","35,558","39,199",5.8,10.2
Atkinson,"28,962","30,251","31,938",4.5,5.6
Bacon,"31,516","32,784","38,281",4.0,16.8
Baker,"35,175","39,932","43,156",13.5,8.1
Baldwin,"32,534","33,865","36,399",4.1,7.5
Banks,"35,862","35,990","37,333",0.4,3.7
Barrow,"36,720","37,318","40,435",1.6,8.4
Bartow,"38,310","39,755","42,734",3.8,7.5
Ben Hill,"31,250","32,539","36,234",4.1,11.4
Berrien,"31,117","32,573","35,260",4.7,8.2
Bibb,"40,433","41,517","44,830",2.7,8.0
Bleckley,"33,520","34,464","36,712",2.8,6.5
Brantley,"27,046","27,472","30,007",1.6,9.2
Brooks,"34,708","36,742","40,221",5.9,9.5
Bryan,"53,382","53,404","56,648",0.0,6.1
Bulloch,"32,360","32,718","35,376",1.1,8.1
Burke,"34,940","38,419","41,973",10.0,9.3
Butts,"34,243","34,761","37,403",1.5,7.6
Calhoun,"23,262","25,701","28,426",10.5,10.6
Camden,"35,872","36,807","39,262",2.6,6.7
Candler,"32,024","33,649","36,613",5.1,8.8
Carroll,"38,273","39,725","42,058",3.8,5.9
Catoosa,"34,882","36,030","38,815",3.3,7.7
Charlton,"24,465","24,884","27,192",1.7,9.3
Chatham,"47,256","48,545","51,805",2.7,6.7
Chattahoochee,"29,964","30,433","33,166",1.6,9.0
Chattooga,"30,296","31,069","33,855",2.6,9.0
Cherokee,"52,052","53,774","56,278",3.3,4.7
Clarke,"33,481","34,935","37,588",4.3,7.6
Clay,"32,081","34,175","38,731",6.5,13.3
Clayton,"27,430","28,329","32,702",3.3,15.4
Clinch,"36,689","38,551","44,238",5.1,14.8
Cobb,"57,762","60,383","63,214",4.5,4.7
Coffee,"31,761","32,880","35,507",3.5,8.0
Colquitt,"32,728","33,793","37,418",3.3,10.7
Columbia,"49,844","51,534","54,420",3.4,5.6
Cook,"32,303","33,589","36,301",4.0,8.1
Coweta,"47,395","49,042","52,106",3.5,6.2
Crawford,"33,841","34,633","37,563",2.3,8.5
Crisp,"32,341","34,299","37,250",6.1,8.6
Dade,"35,561","34,992","37,327",-1.6,6.7
Dawson,"45,988","46,101","48,170",0.2,4.5
Decatur,"35,527","37,197","40,879",4.7,9.9
DeKalb,"51,310","52,950","56,428",3.2,6.6
Dodge,"30,026","31,116","33,419",3.6,7.4
Dooly,"29,886","32,995","34,582",10.4,4.8
Dougherty,"34,246","35,951","40,161",5.0,11.7
Douglas,"35,406","36,772","40,264",3.9,9.5
Early,"35,805","39,225","42,889",9.6,9.3
Echols,"28,002","28,417","31,945",1.5,12.4
Effingham,"41,839","41,988","45,069",0.4,7.3
Elbert,"35,669","35,899","38,414",0.6,7.0
Emanuel,"31,778","33,463","37,678",5.3,12.6
Evans,"33,769","34,065","37,408",0.9,9.8
Fannin,"36,459","38,128","39,796",4.6,4.4
Fayette,"66,106","68,696","71,384",3.9,3.9
Floyd,"37,593","38,630","41,238",2.8,6.8
Forsyth,"63,462","64,919","67,859",2.3,4.5
Franklin,"35,349","34,783","35,134",-1.6,1.0
Fulton,"87,395","92,961","95,683",6.4,2.9
Gilmer,"35,252","35,979","37,542",2.1,4.3
Glascock,"32,979","34,576","36,615",4.8,5.9
Glynn,"46,614","47,795","50,480",2.5,5.6
Gordon,"34,849","35,882","37,759",3.0,5.2
Grady,"34,108","35,195","37,725",3.2,7.2
Greene,"60,073","60,578","61,326",0.8,1.2
Gwinnett,"41,877","43,573","46,886",4.0,7.6
Habersham,"34,002","35,006","36,691",3.0,4.8
Hall,"44,831","46,409","48,759",3.5,5.1
Hancock,"29,983","30,931","33,557",3.2,8.5
Haralson,"36,186","37,319","39,401",3.1,5.6
Harris,"47,669","49,048","51,168",2.9,4.3
Hart,"37,741","37,980","39,402",0.6,3.7
Heard,"31,404","32,162","34,362",2.4,6.8
Henry,"39,521","40,305","43,812",2.0,8.7
Houston,"42,784","43,847","46,579",2.5,6.2
Irwin,"32,984","34,748","38,364",5.3,10.4
Jackson,"43,180","42,927","45,099",-0.6,5.1
Jasper,"37,560","38,411","40,541",2.3,5.5
Jeff Davis,"29,901","31,948","34,341",6.8,7.5
Jefferson,"32,684","34,766","39,544",6.4,13.7
Jenkins,"28,688","30,524","33,497",6.4,9.7
Johnson,"24,822","25,343","27,965",2.1,10.3
Jones,"37,154","38,843","41,436",4.5,6.7
Lamar,"33,093","34,457","37,303",4.1,8.3
Lanier,"27,463","28,598","31,021",4.1,8.5
Laurens,"37,385","38,249","41,650",2.3,8.9
Lee,"46,245","47,926","51,908",3.6,8.3
Liberty,"36,766","36,969","40,087",0.6,8.4
Lincoln,"36,247","37,797","40,424",4.3,7.0
Long,"27,610","28,002","29,738",1.4,6.2
Lowndes,"37,150","38,136","41,117",2.7,7.8
Lumpkin,"38,117","39,041","41,181",2.4,5.5
McDuffie,"35,763","37,740","41,111",5.5,8.9
McIntosh,"31,032","31,770","34,500",2.4,8.6
Macon,"29,773","31,843","33,955",7.0,6.6
Madison,"37,075","37,625","38,890",1.5,3.4
Marion,"29,193","29,832","31,621",2.2,6.0
Meriwether,"34,437","35,604","39,121",3.4,9.9
Miller,"43,499","46,158","49,844",6.1,8.0
Mitchell,"33,947","36,448","39,711",7.4,9.0
Monroe,"44,774","46,580","48,985",4.0,5.2
Montgomery,"29,016","30,196","34,061",4.1,12.8
Morgan,"50,724","52,550","55,032",3.6,4.7
Murray,"30,402","31,148","33,841",2.5,8.6
Muscogee,"43,215","44,896","48,080",3.9,7.1
Newton,"34,033","34,829","38,256",2.3,9.8
Oconee,"66,432","71,604","71,768",7.8,0.2
Oglethorpe,"36,686","37,243","38,236",1.5,2.7
